H:B 1:1;SPE 1;SPE 2;SPE 3;H:B 1:2;SPE 1;SPE 2;SPE3;H:B 2:1;SPE 1;SPE 2;SPE 3;H:B 1:3;SPE 1;SPE 2;SPE3;H:B 3:1;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.679573;16.0718;17.0637;18.2653;0.679573;14.2549;12.6412;15.8489;0.679573;21.4935;17.9399;20.7926;0.679573;23.4326;22.1527;23.1517;0.679573;20.1734;21.5634;21.3219
0.689573;16.0337;17.0494;18.3177;0.689573;14.1881;12.6074;15.8656;0.689573;21.4983;17.9458;20.8069;0.689573;23.4397;22.1442;23.3696;0.689573;20.244;21.6816;21.3934
0.699573;15.9956;16.9111;18.375;0.699573;14.2296;12.5793;15.8489;0.699573;21.5221;17.9506;20.9023;0.699573;23.4645;22.2081;23.4049;0.699573;20.4061;21.7789;21.4649
0.709573;15.9717;16.8539;18.4322;0.709573;14.2911;12.5492;15.8256;0.709573;21.5841;18.0793;20.907;0.709573;23.5594;22.3235;23.5599;0.709573;20.614;21.9735;21.5794
0.719573;16.011;16.8777;18.5323;0.719573;14.3498;12.5845;15.7698;0.719573;21.6747;18.1985;20.9642;0.719573;23.5556;22.4207;23.8856;0.719573;20.7413;22.127;21.7224
0.729573;16.0337;16.8396;18.6754;0.729573;14.4075;12.6284;15.8318;0.729573;21.7653;18.3225;21.1359;0.729573;23.6605;22.4951;23.8703;0.729573;20.9716;22.3368;21.8798
0.739573;16.0432;16.9158;18.8089;0.739573;14.5128;12.6589;15.9162;0.739573;21.8798;18.4608;21.2694;0.739573;23.7082;22.6096;23.9957;0.739573;21.1428;22.5294;22.0943
0.749573;16.1195;16.9826;18.9758;0.749573;14.6006;12.6775;15.9815;0.749573;22.0657;18.6658;21.4554;0.749573;23.8641;22.745;24.2275;0.749573;21.4308;22.7712;22.2612
0.759573;16.2387;17.0589;19.1713;0.759573;14.7207;12.7452;16.0583;0.759573;22.2803;18.89;21.6938;0.759573;23.9724;22.9252;24.3982;0.759573;21.5844;23.0411;22.5092
0.769573;16.3436;17.1829;19.3954;0.769573;14.8299;12.7872;16.1622;0.769573;22.5092;19.1427;22.1039;0.769573;24.1731;23.1212;24.6523;0.769573;21.9339;23.322;22.7715
0.779573;16.4915;17.3355;19.6482;0.779573;14.9935;12.8582;16.3215;0.779573;22.7667;19.405;22.3328;0.779573;24.3624;23.3415;24.7959;0.779573;22.2939;23.5504;23.0909
0.789495;16.6631;17.5024;19.92;0.789495;15.1222;12.9683;16.4998;0.789495;23.1672;19.6863;22.4901;0.789495;24.5422;23.5489;25.1034;0.789495;22.5352;23.907;23.3961
0.799496;16.8157;17.6883;20.2061;0.799496;15.3254;13.1176;16.6772;0.799496;23.315;20.0201;22.8716;0.799496;24.8354;23.8164;25.3871;0.799496;22.8828;24.3166;23.7442
0.809495;17.0637;17.8886;20.5494;0.809495;15.4822;13.2225;16.8894;0.809495;23.6917;20.3587;23.1768;0.809495;25.0309;24.1388;25.6666;0.809495;23.1951;24.6981;24.0637
0.819495;17.2878;18.127;20.9118;0.819495;15.7474;13.3703;17.0935;0.819495;24.0541;20.7687;23.3818;0.819495;25.3654;24.4235;26.0061;0.819495;23.639;25.0734;24.4452
0.829495;17.5453;18.4083;21.2742;0.829495;15.9963;13.5649;17.3257;0.829495;24.3259;21.1025;23.7394;0.829495;25.6563;24.7792;26.3623;0.829495;23.9552;25.5016;24.8505
0.839496;17.8075;18.6849;21.6366;0.839496;16.2333;13.7651;17.5646;0.839496;24.6836;21.5031;23.9588;0.839496;25.9567;25.1506;26.7075;0.839496;24.3915;25.8816;25.2701
0.849496;18.1222;18.952;22.0657;0.849496;16.5108;13.9778;17.8617;0.849496;25.0412;21.8702;24.221;0.849496;26.3144;25.5683;27.0804;0.849496;24.721;26.2455;25.6659
0.859495;18.394;19.3048;22.5044;0.859495;16.8136;14.1943;18.1506;0.859495;25.3654;22.2898;24.7122;0.859495;26.7244;25.9994;27.5382;0.859495;25.0329;26.7061;26.0998
0.869495;18.6658;19.6386;22.924;0.869495;17.2303;14.4761;18.451;0.869495;25.7708;22.7095;25.0555;0.869495;27.1107;26.4405;27.9049;0.869495;25.4806;27.1576;26.5099
0.879496;19.0235;19.9724;23.3961;0.879496;17.4468;14.7584;18.7624;0.879496;26.1522;23.1148;25.3702;0.879496;27.4826;26.8649;28.3893;0.879496;25.8497;27.5615;26.9485
0.889496;19.3287;20.3157;23.8205;0.889496;17.8412;14.9687;19.0485;0.889496;26.4812;23.5296;25.8041;0.889496;27.8307;27.3608;28.7622;0.889496;26.2612;28.0236;27.3872
0.899496;19.6959;20.6877;24.2878;0.899496;18.0686;15.2267;19.3823;0.899496;26.8198;23.9302;26.0998;0.899496;28.2742;27.8424;29.2977;0.899496;26.5912;28.5309;27.8212
