2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.649572;4.17471;3.407;4.12226;0.649572;2.09976;2.31911;2.22612;0.649572;1.49751;1.92572;2.03444;0.649572;3.65235;8.96338;7.19288;0.649572;4.93545;4.34007;5.27243
0.659573;4.19855;3.4833;4.10795;0.659573;2.26618;2.45834;2.37967;0.659573;1.6253;2.1279;2.22755;0.659573;4.16876;9.11931;7.22387;0.659573;5.90875;5.20281;6.32551
0.669573;4.24147;3.65496;4.22716;0.669573;2.47694;2.64383;2.5828;0.669573;1.78075;2.37633;2.47551;0.669573;4.84206;9.29144;7.27823;0.669573;7.15664;6.25255;7.6907
0.679573;4.30822;3.87907;4.42743;0.679573;2.76638;2.90037;2.85841;0.679573;1.98151;2.68293;2.7969;0.679573;5.72851;9.5003;7.42701;0.679573;8.82414;7.66685;9.45786
0.689573;4.3273;4.22716;4.75168;0.689573;3.09969;3.22749;3.17551;0.689573;2.22898;3.06488;3.19315;0.689573;6.87435;9.75875;7.64969;0.689573;10.9113;9.54226;11.6818
0.699573;4.47512;4.74215;5.21421;0.699573;3.55078;3.66808;3.62135;0.699573;2.5499;3.55603;3.70909;0.699573;8.39928;10.0577;7.86093;0.699573;13.6149;11.9875;14.4852
0.709573;4.7946;5.47171;5.87702;0.709573;4.15064;4.2565;4.22122;0.709573;2.97142;4.20643;4.39908;0.709573;10.4444;10.4773;8.31965;0.709573;16.9666;15.1532;17.8545
0.719573;5.13792;6.37298;6.75445;0.719573;4.92789;5.01801;4.99131;0.719573;3.50882;5.05569;5.28886;0.719573;13.0995;11.0414;8.99867;0.719573;20.8681;18.9398;21.6802
0.729573;5.78642;7.546;7.89409;0.729573;5.96502;6.02939;6.02224;0.729573;4.22551;6.17054;6.45568;0.729573;16.5146;11.7577;10.0849;0.729573;25.2369;23.3797;25.9517
0.739573;6.83074;9.09572;9.37705;0.739573;7.35548;7.37789;7.33402;0.739573;5.17823;7.64254;8.01065;0.739573;20.5735;12.7538;11.7953;0.739573;30.0311;29.1671;30.6357
0.749573;8.2088;10.9935;11.1938;0.749573;9.07734;9.0988;9.05446;0.749573;6.44519;9.52271;9.98286;0.749573;25.4305;14.0741;14.2229;0.749573;35.0903;33.5869;35.4589
0.759573;9.92541;13.3062;13.4588;0.759573;11.3004;11.3037;11.2493;0.759573;8.12414;11.8888;12.4767;0.759573;30.8813;15.8914;17.0091;0.759573;40.3351;39.6523;40.3847
0.769573;12.0473;16.11;16.1958;0.769573;13.985;14.0179;13.8748;0.769573;10.2508;14.6874;15.4422;0.769573;37.0006;18.1311;20.3732;0.769573;45.5536;45.3963;45.1817
0.779573;14.5889;19.1713;19.1046;0.779573;17.0496;17.2356;16.876;0.779573;12.8167;17.8292;18.802;0.779573;43.1408;20.8691;24.3548;0.779573;50.6236;50.9908;49.8607
0.789495;17.6406;22.7095;22.4901;0.789495;20.5444;20.963;20.449;0.789495;15.7965;21.2973;22.5552;0.789495;49.6678;24.1602;28.8676;0.789495;55.6113;56.4983;54.5384
0.799496;20.783;26.3859;25.9949;0.799496;24.4826;25.1907;24.3619;0.799496;19.1663;25.1311;26.5573;0.799496;56.174;27.995;34.0489;0.799496;60.3702;61.7292;59.0255
0.809495;24.3212;30.2721;29.5712;0.809495;28.6549;29.5685;28.5066;0.809495;22.7807;29.014;30.7635;0.809495;62.6781;32.3461;39.4434;0.809495;64.924;66.8933;63.0357
0.819495;28.0882;34.249;33.424;0.819495;32.6361;33.9736;32.7438;0.819495;26.6584;33.194;35.2539;0.819495;69.0153;37.0716;45.5245;0.819495;69.4778;71.8;66.4642
0.829495;32.2606;38.1733;37.1624;0.829495;36.9143;38.4976;37.2676;0.829495;30.6243;37.187;39.5578;0.829495;74.9519;41.7973;51.3865;0.829495;73.4976;76.2346;69.311
0.839496;35.8321;42.0691;40.9819;0.839496;40.9295;43.285;41.7115;0.839496;34.5611;41.4867;43.9479;0.839496;80.7455;46.3893;57.4758;0.839496;77.1549;80.2353;71.7619
0.849496;39.7135;45.7932;44.6059;0.849496;44.892;47.7674;46.0126;0.849496;38.4339;45.4213;48.0916;0.849496;85.9049;51.1767;63.4697;0.849496;79.9158;83.8641;74.0316
0.859495;43.5187;49.4697;48.0916;0.859495;48.5303;52.2067;50.2278;0.859495;42.2062;48.7782;52.3355;0.859495;89.9437;56.0739;69.0964;0.859495;82.1284;86.7346;76.1822
0.869495;47.1332;53.1032;51.3818;0.869495;52.0637;56.5078;54.1141;0.869495;45.9554;52.345;56.4697;0.869495;93.8682;61.0616;74.5848;0.869495;83.8402;89.4574;77.2884
0.879496;50.6474;56.3982;54.7673;0.879496;55.1679;60.5848;57.6141;0.879496;49.7081;55.7305;59.7551;0.879496;96.9867;65.9206;79.3293;0.879496;85.4376;92.0275;78.0228
0.889496;53.5514;59.2258;57.3709;0.889496;58.1338;64.3709;61.033;0.889496;53.313;58.9063;62.783;0.889496;98.9989;70.5173;83.3777;0.889496;86.3579;93.892;78.5139
0.899496;56.6843;62.1917;60.0173;0.899496;60.9663;68.0234;64.08;0.899496;56.8893;62.1202;65.6154;0.899496;100.501;74.7183;87.6358;0.899496;87.1161;94.9315;78.3184
