2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.619651;5.56924;10.0372;6.20487;0.619651;2.11168;2.38682;2.32769;0.619651;3.06393;4.07387;1.64199;0.619651;1.08245;1.04478;1.03577;0.619651;1.12327;1.0474;1.3697
0.629651;5.23211;9.77115;5.8954;0.629651;2.02299;2.29145;2.22994;0.629651;3.08014;4.03334;1.62769;0.629651;1.13829;1.11244;1.13175;0.629651;1.23861;1.15297;1.56286
0.639651;4.9565;9.52176;5.61502;0.639651;1.95623;2.21754;2.15555;0.639651;3.09635;3.99615;1.62101;0.639651;1.21654;1.19441;1.21983;0.639651;1.36612;1.27314;1.67158
0.649572;4.67946;9.28;5.33988;0.649572;1.90998;2.16032;2.09976;0.649572;3.11161;3.95085;1.6315;0.649572;1.29521;1.27776;1.31996;0.649572;1.51461;1.40288;1.85331
0.659573;4.44963;9.06304;5.1191;0.659573;1.88137;2.12933;2.064;0.659573;3.15024;3.85977;1.65439;0.659573;1.40117;1.37833;1.42968;0.659573;1.68842;1.55457;2.06784
0.669573;4.46488;8.81556;4.87639;0.669573;1.86849;2.11693;2.04731;0.669573;3.18266;3.81829;1.67776;0.669573;1.51351;1.48733;1.561;0.669573;1.90042;1.72771;2.33582
0.679573;4.14063;8.57428;4.68947;0.679573;1.87803;2.11836;2.0516;0.679573;3.19983;3.783;1.72878;0.679573;1.68784;1.62128;1.70177;0.679573;2.16044;1.94023;2.65902
0.689573;3.99329;8.29199;4.51447;0.689573;1.90283;2.13219;2.07592;0.689573;3.24561;3.74724;1.79744;0.689573;1.84663;1.78087;1.86909;0.689573;2.471;2.19253;3.06266
0.699573;3.84737;8.01018;4.38001;0.699573;1.95433;2.18082;2.12265;0.699573;3.25848;3.73293;1.87565;0.699573;2.06464;1.96617;2.07427;0.699573;2.85719;2.50977;3.59177
0.709573;3.75105;7.77557;4.28607;0.709573;2.0311;2.25569;2.1999;0.709573;3.33477;3.72817;1.99438;0.709573;2.34126;2.20097;2.31856;0.709573;3.35573;2.90898;4.27479
0.719573;3.70146;7.47612;4.24744;0.719573;2.13314;2.342;2.30146;0.719573;3.41107;3.78729;2.12933;0.719573;2.66837;2.48054;2.61372;0.719573;4.07075;3.4181;5.1475
0.729573;3.68477;7.19336;4.25841;0.729573;2.26475;2.4736;2.44356;0.729573;3.49022;3.86359;2.32912;0.729573;3.09972;2.83803;2.9837;0.729573;4.82153;4.08267;6.29404
0.739573;3.71005;6.94635;4.34186;0.739573;2.44547;2.66434;2.63239;0.739573;3.66999;4.01427;2.55848;0.739573;3.64784;3.29098;3.46559;0.739573;5.92496;4.95171;7.83422
0.749573;3.80446;6.75752;4.49636;0.749573;2.67197;2.9018;2.8751;0.749573;3.85882;4.24124;2.84887;0.749573;4.36067;3.85703;4.08124;0.749573;7.35786;6.08947;9.82408
0.759573;3.9847;6.54628;4.76052;0.759573;2.97285;3.21318;3.19315;0.759573;4.09247;4.58505;3.24751;0.759573;5.31604;4.61101;4.88069;0.759573;9.27237;7.61202;12.3551
